"Category","Model","Size","Package","Paper","Print Colour","Packing Method","Finishing","Mix Design","Compulsory","Quantity (Pcs)","Weight","Print Method","WM Price","EM Price"
"Standard Money Packet","MP 103","79.5mm x 154mm","Normal","Gloss Art Paper 130gsm","4C (Front)","6pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","30000","164","LO","2386.00","4026.00"
"Standard Money Packet","MP 103","79.5mm x 154mm","Normal","Gloss Art Paper 130gsm","4C (Front)","6pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","60000","328","LO","4486.00","7766.00"
"Standard Money Packet","MP 103","79.5mm x 154mm","Normal","Gloss Art Paper 130gsm","4C (Front)","6pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","90000","492","LO","6553.00","11473.00"
"Standard Money Packet","MP 103","79.5mm x 154mm","Normal","Gloss Art Paper 130gsm","4C (Front)","8pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","600","4","DO","262.00","302.00"
"Standard Money Packet","MP 103","79.5mm x 154mm","Normal","Gloss Art Paper 130gsm","4C (Front)","8pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","5000","28","LO","809.00","1089.00"
"Standard Money Packet","MP 103","79.5mm x 154mm","Normal","Gloss Art Paper 130gsm","4C (Front)","8pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","10000","55","LO","1131.00","1681.00"
"Standard Money Packet","MP 103","79.5mm x 154mm","Normal","Gloss Art Paper 130gsm","4C (Front)","8pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","15000","82","LO","1449.00","2269.00"
"Standard Money Packet","MP 103","79.5mm x 154mm","Normal","Gloss Art Paper 130gsm","4C (Front)","8pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","20000","110","LO","1857.00","2957.00"
"Standard Money Packet","MP 103","79.5mm x 154mm","Normal","Gloss Art Paper 130gsm","4C (Front)","8pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","25000","137","LO","2125.00","3495.00"
"Standard Money Packet","MP 103","79.5mm x 154mm","Normal","Gloss Art Paper 130gsm","4C (Front)","8pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","30000","164","LO","2386.00","4026.00"
"Standard Money Packet","MP 103","79.5mm x 154mm","Normal","Gloss Art Paper 130gsm","4C (Front)","8pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","40000","219","LO","3144.00","5334.00"
"Standard Money Packet","MP 103","79.5mm x 154mm","Normal","Gloss Art Paper 130gsm","4C (Front)","8pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","50000","273","LO","3870.00","6600.00"
"Standard Money Packet","MP 103","79.5mm x 154mm","Normal","Gloss Art Paper 130gsm","4C (Front)","8pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","60000","328","LO","4486.00","7766.00"
"Standard Money Packet","MP 103","79.5mm x 154mm","Normal","Gloss Art Paper 130gsm","4C (Front)","8pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","70000","383","LO","5213.00","9043.00"
"Standard Money Packet","MP 103","79.5mm x 154mm","Normal","Gloss Art Paper 130gsm","4C (Front)","8pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","80000","437","LO","5926.00","10296.00"
"Standard Money Packet","MP 103","79.5mm x 154mm","Normal","Gloss Art Paper 130gsm","4C (Front)","8pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","90000","492","LO","6553.00","11473.00"
"Standard Money Packet","MP 103","79.5mm x 154mm","Normal","Gloss Art Paper 130gsm","4C (Front)","8pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","100000","546","LO","7159.00","12619.00"
"Standard Money Packet","MP 103","79.5mm x 154mm","Normal","Gloss Art Paper 130gsm","4C (Front)","10pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","600","4","DO","262.00","302.00"
"Standard Money Packet","MP 103","79.5mm x 154mm","Normal","Gloss Art Paper 130gsm","4C (Front)","10pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","1250","8","DO","297.00","377.00"
"Standard Money Packet","MP 103","79.5mm x 154mm","Normal","Gloss Art Paper 130gsm","4C (Front)","10pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","2500","14","LO","460.00","600.00"
"Standard Money Packet","MP 103","79.5mm x 154mm","Normal","Gloss Art Paper 130gsm","4C (Front)","10pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","5000","28","LO","809.00","1089.00"
"Standard Money Packet","MP 103","79.5mm x 154mm","Normal","Gloss Art Paper 130gsm","4C (Front)","10pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","10000","55","LO","1131.00","1681.00"
"Standard Money Packet","MP 103","79.5mm x 154mm","Normal","Gloss Art Paper 130gsm","4C (Front)","10pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","15000","82","LO","1449.00","2269.00"
"Standard Money Packet","MP 103","79.5mm x 154mm","Normal","Gloss Art Paper 130gsm","4C (Front)","10pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","20000","110","LO","1857.00","2957.00"
"Standard Money Packet","MP 103","79.5mm x 154mm","Normal","Gloss Art Paper 130gsm","4C (Front)","10pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","25000","137","LO","2125.00","3495.00"
"Standard Money Packet","MP 103","79.5mm x 154mm","Normal","Gloss Art Paper 130gsm","4C (Front)","10pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","30000","164","LO","2386.00","4026.00"
"Standard Money Packet","MP 103","79.5mm x 154mm","Normal","Gloss Art Paper 130gsm","4C (Front)","10pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","40000","219","LO","3144.00","5334.00"
"Standard Money Packet","MP 103","79.5mm x 154mm","Normal","Gloss Art Paper 130gsm","4C (Front)","10pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","50000","273","LO","3870.00","6600.00"
"Standard Money Packet","MP 103","79.5mm x 154mm","Normal","Gloss Art Paper 130gsm","4C (Front)","10pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","60000","328","LO","4486.00","7766.00"
"Standard Money Packet","MP 103","79.5mm x 154mm","Normal","Gloss Art Paper 130gsm","4C (Front)","10pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","70000","383","LO","5213.00","9043.00"
"Standard Money Packet","MP 103","79.5mm x 154mm","Normal","Gloss Art Paper 130gsm","4C (Front)","10pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","80000","437","LO","5926.00","10296.00"
"Standard Money Packet","MP 103","79.5mm x 154mm","Normal","Gloss Art Paper 130gsm","4C (Front)","10pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","90000","492","LO","6553.00","11473.00"
"Standard Money Packet","MP 103","79.5mm x 154mm","Normal","Gloss Art Paper 130gsm","4C (Front)","10pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","100000","546","LO","7159.00","12619.00"
"Standard Money Packet","MP 104","85mm x 167mm","Normal","Gloss Art Paper 130gsm","4C (Front)","5pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","600","4","DO","212.00","252.00"
"Standard Money Packet","MP 104","85mm x 167mm","Normal","Gloss Art Paper 130gsm","4C (Front)","5pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","1250","9","DO","247.00","337.00"
"Standard Money Packet","MP 104","85mm x 167mm","Normal","Gloss Art Paper 130gsm","4C (Front)","5pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","2500","16","LO","378.00","538.00"
"Standard Money Packet","MP 104","85mm x 167mm","Normal","Gloss Art Paper 130gsm","4C (Front)","5pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","5000","32","LO","665.00","985.00"
"Standard Money Packet","MP 104","85mm x 167mm","Normal","Gloss Art Paper 130gsm","4C (Front)","5pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","10000","63","LO","965.00","1595.00"
"Standard Money Packet","MP 104","85mm x 167mm","Normal","Gloss Art Paper 130gsm","4C (Front)","5pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","15000","95","LO","1222.00","2172.00"
"Standard Money Packet","MP 104","85mm x 167mm","Normal","Gloss Art Paper 130gsm","4C (Front)","5pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","20000","126","LO","1525.00","2785.00"
"Standard Money Packet","MP 104","85mm x 167mm","Normal","Gloss Art Paper 130gsm","4C (Front)","5pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","25000","158","LO","1783.00","3363.00"
"Standard Money Packet","MP 104","85mm x 167mm","Normal","Gloss Art Paper 130gsm","4C (Front)","5pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","30000","189","LO","2100.00","3990.00"
"Standard Money Packet","MP 104","85mm x 167mm","Normal","Gloss Art Paper 130gsm","4C (Front)","5pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","40000","252","LO","2793.00","5313.00"
"Standard Money Packet","MP 104","85mm x 167mm","Normal","Gloss Art Paper 130gsm","4C (Front)","5pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","50000","315","LO","3467.00","6617.00"
"Standard Money Packet","MP 104","85mm x 167mm","Normal","Gloss Art Paper 130gsm","4C (Front)","5pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","60000","378","LO","3916.00","7696.00"
"Standard Money Packet","MP 104","85mm x 167mm","Normal","Gloss Art Paper 130gsm","4C (Front)","5pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","70000","441","LO","4534.00","8944.00"
"Standard Money Packet","MP 104","85mm x 167mm","Normal","Gloss Art Paper 130gsm","4C (Front)","5pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","80000","504","LO","5151.00","10191.00"
"Standard Money Packet","MP 104","85mm x 167mm","Normal","Gloss Art Paper 130gsm","4C (Front)","5pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","90000","567","LO","5712.00","11382.00"
"Standard Money Packet","MP 104","85mm x 167mm","Normal","Gloss Art Paper 130gsm","4C (Front)","5pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","100000","630","LO","6274.00","12574.00"
"Standard Money Packet","MP 104","85mm x 167mm","Normal","Gloss Art Paper 130gsm","4C (Front)","6pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","600","4","DO","212.00","252.00"
"Standard Money Packet","MP 104","85mm x 167mm","Normal","Gloss Art Paper 130gsm","4C (Front)","6pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","15000","95","LO","1222.00","2172.00"
"Standard Money Packet","MP 104","85mm x 167mm","Normal","Gloss Art Paper 130gsm","4C (Front)","6pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","30000","189","LO","2100.00","3990.00"
"Standard Money Packet","MP 104","85mm x 167mm","Normal","Gloss Art Paper 130gsm","4C (Front)","6pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","60000","378","LO","3916.00","7696.00"
"Standard Money Packet","MP 104","85mm x 167mm","Normal","Gloss Art Paper 130gsm","4C (Front)","6pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","90000","567","LO","5712.00","11382.00"
"Standard Money Packet","MP 104","85mm x 167mm","Normal","Gloss Art Paper 130gsm","4C (Front)","8pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","600","4","DO","212.00","252.00"
"Standard Money Packet","MP 104","85mm x 167mm","Normal","Gloss Art Paper 130gsm","4C (Front)","8pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","5000","32","LO","665.00","985.00"
"Standard Money Packet","MP 104","85mm x 167mm","Normal","Gloss Art Paper 130gsm","4C (Front)","8pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","10000","63","LO","965.00","1595.00"
"Standard Money Packet","MP 104","85mm x 167mm","Normal","Gloss Art Paper 130gsm","4C (Front)","8pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","15000","95","LO","1222.00","2172.00"
"Standard Money Packet","MP 104","85mm x 167mm","Normal","Gloss Art Paper 130gsm","4C (Front)","8pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","20000","126","LO","1525.00","2785.00"
"Standard Money Packet","MP 104","85mm x 167mm","Normal","Gloss Art Paper 130gsm","4C (Front)","8pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","25000","158","LO","1783.00","3363.00"
"Standard Money Packet","MP 104","85mm x 167mm","Normal","Gloss Art Paper 130gsm","4C (Front)","8pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","30000","189","LO","2100.00","3990.00"
"Standard Money Packet","MP 104","85mm x 167mm","Normal","Gloss Art Paper 130gsm","4C (Front)","8pcs / Pack","N/A","No","Die-Cutting, Gluing + Folding","40000","252","LO","2793.00","5313.00"
