"Product","Orientation","Size","Paper","Print Colour","Quantity","Compulsory","Hole Punch","VDP","WMPrice","EMPrice"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","500","Round Cornering","Not Required","Not Required","416.00","446.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","500","Round Cornering","Not Required","Variable Data Printing (Front)","496.00","526.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","500","Round Cornering","Hole Punching (6mm)","Not Required","466.00","496.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","500","Round Cornering","Hole Punching (6mm)","Variable Data Printing (Front)","546.00","576.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","600","Round Cornering","Not Required","Not Required","494.00","534.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","600","Round Cornering","Not Required","Variable Data Printing (Front)","584.00","624.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","600","Round Cornering","Hole Punching (6mm)","Not Required","554.00","594.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","600","Round Cornering","Hole Punching (6mm)","Variable Data Printing (Front)","644.00","684.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","700","Round Cornering","Not Required","Not Required","572.00","622.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","700","Round Cornering","Not Required","Variable Data Printing (Front)","672.00","722.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","700","Round Cornering","Hole Punching (6mm)","Not Required","642.00","692.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","700","Round Cornering","Hole Punching (6mm)","Variable Data Printing (Front)","742.00","792.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","800","Round Cornering","Not Required","Not Required","648.00","698.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","800","Round Cornering","Not Required","Variable Data Printing (Front)","758.00","808.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","800","Round Cornering","Hole Punching (6mm)","Not Required","728.00","778.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","800","Round Cornering","Hole Punching (6mm)","Variable Data Printing (Front)","838.00","888.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","900","Round Cornering","Not Required","Not Required","715.00","775.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","900","Round Cornering","Not Required","Variable Data Printing (Front)","835.00","895.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","900","Round Cornering","Hole Punching (6mm)","Not Required","805.00","865.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","900","Round Cornering","Hole Punching (6mm)","Variable Data Printing (Front)","925.00","985.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","1000","Round Cornering","Not Required","Not Required","766.00","826.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","1000","Round Cornering","Not Required","Variable Data Printing (Front)","896.00","956.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","1000","Round Cornering","Hole Punching (6mm)","Not Required","866.00","926.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","1000","Round Cornering","Hole Punching (6mm)","Variable Data Printing (Front)","996.00","1056.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","1500","Round Cornering","Not Required","Not Required","1131.00","1221.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","1500","Round Cornering","Not Required","Variable Data Printing (Front)","1311.00","1401.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","1500","Round Cornering","Hole Punching (6mm)","Not Required","1281.00","1371.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","1500","Round Cornering","Hole Punching (6mm)","Variable Data Printing (Front)","1461.00","1551.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","2000","Round Cornering","Not Required","Not Required","1495.00","1625.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","2000","Round Cornering","Not Required","Variable Data Printing (Front)","1725.00","1855.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","2000","Round Cornering","Hole Punching (6mm)","Not Required","1695.00","1825.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","2000","Round Cornering","Hole Punching (6mm)","Variable Data Printing (Front)","1925.00","2055.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","2500","Round Cornering","Not Required","Not Required","1858.00","2018.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","2500","Round Cornering","Not Required","Variable Data Printing (Front)","2138.00","2298.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","2500","Round Cornering","Hole Punching (6mm)","Not Required","2108.00","2268.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","2500","Round Cornering","Hole Punching (6mm)","Variable Data Printing (Front)","2388.00","2548.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","3000","Round Cornering","Not Required","Not Required","2208.00","2388.00"
