"Size","Paper","Print Colour","Quantity","Packing","WM Price","EM Price"
"A4 (210mm x 297mm)","Simili 80gsm","4C (Front)","80","Loose","58.30","68.30"
"A4 (210mm x 297mm)","Simili 80gsm","4C (Front)","90","Loose","63.80","73.80"
"A4 (210mm x 297mm)","Simili 80gsm","4C (Front)","100","Loose","68.20","78.20"
"A4 (210mm x 297mm)","Simili 80gsm","4C (Front)","150","Loose","93.50","103.50"
"A4 (210mm x 297mm)","Simili 80gsm","4C (Front)","200","Loose","118.80","138.80"
"A4 (210mm x 297mm)","Simili 80gsm","4C (Front)","250","Loose","143.00","163.00"
"A4 (210mm x 297mm)","Simili 80gsm","4C (Front)","300","Loose","167.20","187.20"
"A4 (210mm x 297mm)","Simili 80gsm","4C (Front)","350","Loose","193.60","223.60"
"A4 (210mm x 297mm)","Simili 80gsm","4C (Front)","400","Loose","216.70","246.70"
"A4 (210mm x 297mm)","Simili 80gsm","4C (Front)","450","Loose","242.00","272.00"
"A4 (210mm x 297mm)","Simili 80gsm","4C (Front)","500","Loose","267.30","307.30"
"A4 (210mm x 297mm)","Simili 80gsm","4C (Front)","600","Loose","326.70","366.70"
"A4 (210mm x 297mm)","Simili 80gsm","4C (Front)","700","Loose","330.35","380.35"
"A4 (210mm x 297mm)","Simili 80gsm","4C (Front)","800","Loose","333.95","383.95"
"A4 (210mm x 297mm)","Simili 80gsm","4C (Front)","900","Loose","337.60","397.60"
"A4 (210mm x 297mm)","Simili 80gsm","4C (Front)","1000","Loose","340.00","410.00"
"A4 (210mm x 297mm)","Simili 80gsm","4C (Front)","1100","Loose","344.85","414.85"
"A4 (210mm x 297mm)","Simili 80gsm","4C (Front)","1200","Loose","348.50","428.50"
"A4 (210mm x 297mm)","Simili 80gsm","4C (Front)","1300","Loose","350.90","430.90"
"A4 (210mm x 297mm)","Simili 80gsm","4C (Front)","1400","Loose","355.75","445.75"
"A4 (210mm x 297mm)","Simili 80gsm","4C (Front)","1500","Loose","358.15","458.15"
"A4 (210mm x 297mm)","Simili 80gsm","4C (Front)","500","Pad (100 pcs per pad)","327.90","367.90"
"A4 (210mm x 297mm)","Simili 80gsm","4C (Front)","600","Pad (100 pcs per pad)","331.55","371.55"
"A4 (210mm x 297mm)","Simili 80gsm","4C (Front)","700","Pad (100 pcs per pad)","336.40","386.40"
"A4 (210mm x 297mm)","Simili 80gsm","4C (Front)","800","Pad (100 pcs per pad)","338.80","388.80"
"A4 (210mm x 297mm)","Simili 80gsm","4C (Front)","900","Pad (100 pcs per pad)","342.45","402.45"
"A4 (210mm x 297mm)","Simili 80gsm","4C (Front)","1000","Pad (100 pcs per pad)","346.05","416.05"
"A4 (210mm x 297mm)","Simili 80gsm","4C (Front)","1100","Pad (100 pcs per pad)","350.90","420.90"
"A4 (210mm x 297mm)","Simili 80gsm","4C (Front)","1200","Pad (100 pcs per pad)","355.75","435.75"
"A4 (210mm x 297mm)","Simili 80gsm","4C (Front)","1300","Pad (100 pcs per pad)","358.15","438.15"
"A4 (210mm x 297mm)","Simili 80gsm","4C (Front)","1400","Pad (100 pcs per pad)","361.80","451.80"
"A4 (210mm x 297mm)","Simili 80gsm","4C (Front)","1500","Pad (100 pcs per pad)","365.40","465.40"
"A4 (210mm x 297mm)","Simili 80gsm","4C (Both)","10","Loose","31.90","41.90"
"A4 (210mm x 297mm)","Simili 80gsm","4C (Both)","20","Loose","39.60","49.60"
"A4 (210mm x 297mm)","Simili 80gsm","4C (Both)","30","Loose","48.40","58.40"
"A4 (210mm x 297mm)","Simili 80gsm","4C (Both)","40","Loose","56.10","66.10"
"A4 (210mm x 297mm)","Simili 80gsm","4C (Both)","50","Loose","64.90","74.90"
"A4 (210mm x 297mm)","Simili 80gsm","4C (Both)","60","Loose","72.60","82.60"
"A4 (210mm x 297mm)","Simili 80gsm","4C (Both)","70","Loose","81.40","91.40"
"A4 (210mm x 297mm)","Simili 80gsm","4C (Both)","80","Loose","89.10","99.10"
"A4 (210mm x 297mm)","Simili 80gsm","4C (Both)","90","Loose","96.80","106.80"
"A4 (210mm x 297mm)","Simili 80gsm","4C (Both)","100","Loose","105.60","115.60"
"A4 (210mm x 297mm)","Simili 80gsm","4C (Both)","150","Loose","146.30","156.30"
"A4 (210mm x 297mm)","Simili 80gsm","4C (Both)","200","Loose","188.10","208.10"
"A4 (210mm x 297mm)","Simili 80gsm","4C (Both)","250","Loose","228.80","248.80"
"A4 (210mm x 297mm)","Simili 80gsm","4C (Both)","300","Loose","270.60","290.60"
"A4 (210mm x 297mm)","Simili 80gsm","4C (Both)","350","Loose","311.30","341.30"
"A4 (210mm x 297mm)","Simili 80gsm","4C (Both)","400","Loose","352.00","382.00"
"A4 (210mm x 297mm)","Simili 80gsm","4C (Both)","450","Loose","393.80","423.80"
"A4 (210mm x 297mm)","Simili 80gsm","4C (Both)","500","Loose","434.50","474.50"
"A4 (210mm x 297mm)","Simili 100gsm","1C (Front)","500","Loose","108.90","148.90"
"A4 (210mm x 297mm)","Simili 100gsm","1C (Front)","600","Loose","114.95","164.95"
