"Model Category","Model","Size","Paper","Print Colour","Quantity","Lamination","Colour Protective Layer","WM Price","EM Price"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (1 side coated)","4C (Front)","1000","Matte Lamination (Front) + Spot UV (Front)","N/A","1489.25","2049.25"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (1 side coated)","4C (Front)","1000","Gloss Waterbase Varnish (Front)","N/A","1010.60","1540.60"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 300gsm (1 side coated)","4C (Front)","250","Gloss Lamination (Front)","N/A","738.90","898.90"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 300gsm (1 side coated)","4C (Front)","250","Matte Lamination (Front)","N/A","738.90","898.90"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 300gsm (1 side coated)","4C (Front)","250","Matte Lamination (Front) + Spot UV (Front)","N/A","1033.45","1193.45"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 300gsm (1 side coated)","4C (Front)","250","Gloss Waterbase Varnish (Front)","N/A","695.05","855.05"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 300gsm (1 side coated)","4C (Front)","300","Gloss Lamination (Front)","N/A","851.70","1041.70"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 300gsm (1 side coated)","4C (Front)","300","Matte Lamination (Front)","N/A","851.70","1041.70"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 300gsm (1 side coated)","4C (Front)","300","Matte Lamination (Front) + Spot UV (Front)","N/A","1158.95","1348.95"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 300gsm (1 side coated)","4C (Front)","300","Gloss Waterbase Varnish (Front)","N/A","801.35","991.35"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 300gsm (1 side coated)","4C (Front)","350","Gloss Lamination (Front)","N/A","871.95","1101.95"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 300gsm (1 side coated)","4C (Front)","350","Matte Lamination (Front)","N/A","871.95","1101.95"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 300gsm (1 side coated)","4C (Front)","350","Matte Lamination (Front) + Spot UV (Front)","N/A","1163.65","1393.65"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 300gsm (1 side coated)","4C (Front)","350","Gloss Waterbase Varnish (Front)","N/A","820.15","1040.15"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 300gsm (1 side coated)","4C (Front)","400","Gloss Lamination (Front)","N/A","963.10","1223.10"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 300gsm (1 side coated)","4C (Front)","400","Matte Lamination (Front)","N/A","963.10","1223.10"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 300gsm (1 side coated)","4C (Front)","400","Matte Lamination (Front) + Spot UV (Front)","N/A","1266.40","1526.40"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 300gsm (1 side coated)","4C (Front)","400","Gloss Waterbase Varnish (Front)","N/A","905.40","1155.40"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 300gsm (1 side coated)","4C (Front)","450","Gloss Lamination (Front)","N/A","990.55","1280.55"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 300gsm (1 side coated)","4C (Front)","450","Matte Lamination (Front)","N/A","990.55","1280.55"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 300gsm (1 side coated)","4C (Front)","450","Matte Lamination (Front) + Spot UV (Front)","N/A","1285.10","1575.10"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 300gsm (1 side coated)","4C (Front)","450","Gloss Waterbase Varnish (Front)","N/A","931.10","1211.10"
